bfid,location_cookie,size,crc,pnfs_path
CDMS154724614500000,0000_000000000_0000035,2471920099,3160662686,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/D43F7BA0-1A07-E911-91EB-001E67A42026.root
CDMS154724616900005,0000_000000000_0000036,3759609152,3041174209,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/06CE8044-BF07-E911-B31E-001E675A690A.root
CDMS154724621900000,0000_000000000_0000037,3810540797,3674180773,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10000/D6C5F64C-6507-E911-8E73-001E675A6AA9.root
CDMS154724625100000,0000_000000000_0000038,2706841978,4106760825,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10001/0C3F4F60-7C07-E911-9689-001E67DDD0AA.root
CDMS154724635600000,0000_000000000_0000039,2722196086,855714598,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10000/E624970F-1B07-E911-9469-001E675A6AA9.root
CDMS154724637500003,0000_000000000_0000040,2494941853,498386061,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/24F350B3-6F07-E911-BD8E-A4BF01025630.root
CDMS154724640300000,0000_000000000_0000041,3774916578,3407554222,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10001/583F1E1D-9F07-E911-B6BE-EC0D9A0B3060.root
CDMS154724643300001,0000_000000000_0000042,3790657123,1916193161,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10000/BC59871D-4E07-E911-B7CE-001E67E69E05.root
CDMS154724645000003,0000_000000000_0000043,3266624432,1054406797,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90001/44BA3DD6-D108-E911-971D-A4BF0126D1BB.root
CDMS154724647500001,0000_000000000_0000044,2176054268,1981175502,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/B649757A-C307-E911-B747-0026182FD740.root
CDMS154724655400000,0000_000000000_0000045,3346929442,3551788488,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/EEBFEEAE-BB08-E911-96D8-001E67DFFF5F.root
CDMS154724662800001,0000_000000000_0000046,4286257178,1854408990,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00001/929B463B-EA07-E911-832A-001E67A3FE66.root
CDMS154724672400005,0000_000000000_0000047,4102511882,2126910735,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/82D106A6-BB08-E911-91F3-A4BF0126D1BB.root
CDMS154724674200002,0000_000000000_0000048,2148782463,129901308,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/7AEF1225-9808-E911-9C3D-A4BF010122D7.root
CDMS154724681200000,0000_000000000_0000049,4285681835,1185580692,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/B02225A9-AD07-E911-8E99-001E67A3FBAA.root
CDMS154724682800001,0000_000000000_0000050,2164308303,2673493336,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/B68BB9FE-F907-E911-B363-A4BF01025630.root
CDMS154724685200002,0000_000000000_0000051,2489172051,4165749018,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10000/42714D70-B606-E911-9011-001E67A400F0.root
CDMS154724687500001,0000_000000000_0000052,3851012697,1099543972,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/9E2CEA41-D408-E911-A154-001E67E68BBD.root
CDMS154724692200001,0000_000000000_0000053,3750178936,1543498285,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/CE35756E-C508-E911-BDBB-EC0D9A0B31B0.root
CDMS154724694000007,0000_000000000_0000054,2738926165,2937040374,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/141AA5ED-5B07-E911-8FEA-EC0D9A0B3310.root
CDMS154724697200007,0000_000000000_0000055,2150737693,2184391958,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/B4379882-2E08-E911-8F2E-EC0D9A0B3310.root
CDMS154724699400001,0000_000000000_0000056,2482245957,536507079,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10000/E24A6327-F206-E911-8E70-EC0D9A0B3350.root
CDMS154724701300000,0000_000000000_0000057,2654839310,2318316345,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/16C1B116-5408-E911-8BCB-001E675A6725.root
CDMS154724703200001,0000_000000000_0000058,3817378360,3737904769,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00002/38D5551C-0509-E911-B598-A4BF0102A5F9.root
CDMS154724708500000,0000_000000000_0000059,3808518641,2614287764,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/7607711D-D808-E911-96C2-A4BF01014073.root
CDMS154724712500001,0000_000000000_0000060,3831269175,2468665280,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00001/7E3595FB-2208-E911-8F0B-EC0D9A0B3070.root
CDMS154724714300004,0000_000000000_0000061,2720308613,2131176723,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/2462649C-4E08-E911-9EC2-EC0D9A0B3180.root
CDMS154724716800000,0000_000000000_0000062,3249091263,501509189,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00001/CCFD3BEB-1608-E911-9147-A4BF010114F4.root
CDMS154724719500000,0000_000000000_0000063,3785421752,2921064327,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/E07B1194-6008-E911-8D91-A4BF0102A5BD.root
CDMS154724722100001,0000_000000000_0000064,2302802223,4128501646,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/5E923922-B806-E911-92D1-A4BF01013F33.root
CDMS154724724400000,0000_000000000_0000065,3789257342,1831967837,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00001/AAD11194-E107-E911-835F-001E67DDBFC5.root
CDMS154724727200000,0000_000000000_0000066,3789254222,2989408704,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00002/F0AEDA2C-F708-E911-9BA0-EC0D9A0B3300.root
CDMS154724735300002,0000_000000000_0000067,3766842823,1954960976,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00002/EED2243C-0309-E911-96BF-A4BF0102A5F9.root
CDMS154724737800000,0000_000000000_0000068,3791990253,75498328,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/DC3922C9-D308-E911-A9B3-A4BF0101202F.root
CDMS154724740000002,0000_000000000_0000069,3790389075,3179297230,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20001/0C75D47A-E108-E911-91A9-90B11C06BDDA.root
CDMS154724743000002,0000_000000000_0000070,3801639085,2379263397,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10001/B65E6B71-D007-E911-9320-001E67E5A39A.root
CDMS154724744300000,0000_000000000_0000071,2155852528,3003669421,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280001/DA58BB15-B808-E911-BC9C-A4BF0102A5F4.root
CDMS154724746400000,0000_000000000_0000072,3264687433,2640891669,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/B85C96EB-C607-E911-B778-001E67D89532.root
CDMS154724747900002,0000_000000000_0000073,2695962066,2662518047,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/7C82C756-9F08-E911-8DE5-A4BF01025568.root
CDMS154724750900000,0000_000000000_0000074,3761541186,4254699535,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10002/7068C73A-5508-E911-9300-001E67DDBEDA.root
CDMS154724753700000,0000_000000000_0000075,3770771859,722108709,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/00F1E443-D408-E911-9FCE-001E67DFFB4F.root
CDMS154724755400008,0000_000000000_0000076,2157207457,2613145861,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/6884711A-4908-E911-9D7E-001E67A42026.root
